,component,cui,name
703,vascular disease,S-243286001,Acute mesenteric arterial occlusion (disorder)
704,vascular disease,S-723867002,Coarctation of aortic arch (disorder)
705,vascular disease,S-16013031000119107,Thrombosis of right femoral artery (disorder)
706,vascular disease,S-62702001,Cerebral vein occlusion (disorder)
707,vascular disease,S-132221000119109,Chronic deep venous thrombosis of upper extremity (disorder)
708,vascular disease,S-15649301000119103,Aneurysm of right popliteal artery (disorder)
709,vascular disease,S-449926001,Inflammatory thrombosis of superficial vein of lower leg (disorder)
710,vascular disease,S-277322008,Ruptured aneurysm of posterior communicating artery (disorder)
711,vascular disease,S-134961000119104,Acute deep venous thrombosis of axillary vein (disorder)
712,vascular disease,S-210851002,"Closed injury, digital vein (disorder)"
713,vascular disease,S-277311009,Unruptured internal carotid-posterior communicating artery zone aneurysm (disorder)
714,vascular disease,S-16011791000119107,Thrombophlebitis of right saphenous vein (disorder)
715,vascular disease,S-698816006,Chronic occlusion of artery of extremity (disorder)
716,vascular disease,S-253683008,Interrupted aortic arch between left common carotid and brachiocephalic artery (disorder)
717,vascular disease,S-445284003,Aortic sinus of Valsalva aneurysm from noncoronary sinus (disorder)
718,vascular disease,S-297162006,Crural artery thrombosis (disorder)
719,vascular disease,S-721105004,Klippel Trenaunay syndrome (disorder)
720,vascular disease,S-192754003,Embolism cavernous sinus (disorder)
721,vascular disease,S-61574004,Injury of radial vein (disorder)
722,vascular disease,S-38877003,Rheumatoid aortitis (disorder)
723,vascular disease,S-297141005,Popliteal artery embolus (disorder)
724,vascular disease,S-16014871000119101,Occlusion of right femoral artery (disorder)
725,vascular disease,S-65498003,Aneurysm of superior mesenteric artery (disorder)
726,vascular disease,S-373135009,Annular abscess of aortic root (disorder)
727,vascular disease,S-37943007,Multiple AND bilateral precerebral artery embolism (disorder)
728,vascular disease,S-763615003,"Aortic arch anomaly, facial dysmorphism, intellectual disability syndrome (disorder)"
729,vascular disease,S-285740000,Injury of digital artery of hand (disorder)
730,vascular disease,S-460965004,Anomalous origin of ligamentum arteriosum from right carotid artery (disorder)
731,vascular disease,S-192771002,Thrombophlebitis of superior longitudinal venous sinus (disorder)
732,vascular disease,S-23737006,Chickenpox with complication (disorder)
733,vascular disease,S-403508004,Lupus erythematosus-associated nailfold telangiectasia (disorder)
734,vascular disease,S-400034001,Internal jugular phlebectasia (disorder)
735,vascular disease,S-762537007,Livedoid vasculitis of lower limb due to varicose veins of lower limb (disorder)
736,vascular disease,S-253642005,Diffuse supravalvar aortic stenosis (disorder)
737,vascular disease,S-289923007,Acquired renal artery stenosis (disorder)
738,vascular disease,S-432293006,Congenital anomaly of blood vessel of upper limb (disorder)
739,vascular disease,S-713032002,Dissection of artery of lower limb (disorder)
740,vascular disease,S-195408002,Phlebitis of the posterior tibial vein (disorder)
741,vascular disease,S-18796000,Injury of renal artery (disorder)
742,vascular disease,S-734879002,Ruptured aneurysm of right posterior communicating artery (disorder)
743,vascular disease,S-329561000119101,Occlusion of right posterior cerebral artery (disorder)
744,vascular disease,S-38921001,Measles with complication (disorder)
745,vascular disease,S-448528000,Aneurysm of aortic sinus of Valsalva with rupture to pericardial cavity (disorder)
746,vascular disease,S-268185002,Supravalvar aortic stenosis (disorder)
747,vascular disease,S-7369002,Injury of palmar artery (disorder)
748,vascular disease,S-127316003,Injury of right colic artery (disorder)
749,vascular disease,S-312377009,Post-radiological embolism of upper limb artery (disorder)
750,vascular disease,S-84939004,"Rubella in mother complicating pregnancy, childbirth AND/OR puerperium (disorder)"
751,vascular disease,S-233994002,Dissection of thoracic aorta (disorder)
752,vascular disease,S-186893003,Rupture of syphilitic cerebral aneurysm (disorder)
753,vascular disease,S-23637001,Injury of subclavian artery (disorder)
754,vascular disease,S-703205008,Asymptomatic occlusion of posterior cerebral artery (disorder)
755,vascular disease,S-51723007,Carotid sinus syncope (disorder)
756,vascular disease,S-195325004,Embolism and thrombosis of the anterior tibial artery (disorder)
757,vascular disease,S-210868003,"Open injury, superficial femoral artery (disorder)"
758,vascular disease,S-111321007,Right aortic arch (disorder)
759,vascular disease,S-429434005,Thrombosis of superficial vein of lower limb (disorder)
760,vascular disease,S-212364001,Injury of superficial vein at shoulder and upper arm level (disorder)
761,vascular disease,S-38742007,Central retinal artery occlusion (disorder)
762,vascular disease,S-703198009,Peripheral venous malformation (disorder)
763,vascular disease,S-312586003,Intracranial thrombophlebitis (disorder)
764,vascular disease,S-195447000,Varicose veins of the leg with ulcer and eczema (disorder)
765,vascular disease,S-271985009,Disorder of intra-aortic pulsation balloon (disorder)
766,vascular disease,S-35162007,Ruptured sinus of Valsalva into right ventricle (disorder)
767,vascular disease,S-20981007,Aneurysm of artery of lower extremity (disorder)
768,vascular disease,S-373408007,Vascular disorder of lower extremity (disorder)
769,vascular disease,S-95580006,Renal artery embolism (disorder)
770,vascular disease,S-55275006,Nodular vasculitis (disorder)
771,vascular disease,S-70607008,Thrombosis of superior sagittal sinus (disorder)
772,vascular disease,S-445286001,Aortic sinus of Valsalva aneurysm from right coronary sinus (disorder)
773,vascular disease,S-448096002,Aberrant origin of left subclavian artery (disorder)
774,vascular disease,S-199193000,Maternal rubella in the puerperium - baby delivered during current episode of care (disorder)
775,vascular disease,S-703184001,Asymptomatic occlusion of intracranial carotid artery (disorder)
776,vascular disease,S-210844006,"Closed injury, palmar artery (disorder)"
777,vascular disease,S-210900007,Injury of blood vessels at ankle and foot level (disorder)
778,vascular disease,S-403618004,Drug-induced flushing (disorder)
779,vascular disease,S-142121000119101,Abdominal aortic ectasia (disorder)
780,vascular disease,S-460593008,Vascular ring with right aortic arch and left ductus arteriosus from anomalous retroesophageal brachiocephalic artery (disorder)
781,vascular disease,S-448628008,Vascular ring with left aortic arch and right arterial duct arising from retroesophageal aortic diverticulum and aberrant right subclavian artery (disorder)
782,vascular disease,S-767311002,Double aortic arch with dominant right arch and hypoplasia of left arch (disorder)
783,vascular disease,S-12237391000119101,Aneurysm of artery of right lower limb (disorder)
784,vascular disease,S-230222003,Septic thrombophlebitis of straight sinus (disorder)
785,vascular disease,S-461619006,Acquired luminal obstruction of aortic arch between subclavian artery and common carotid artery (disorder)
786,vascular disease,S-253682003,Interrupted aortic arch between left subclavian and left common carotid artery (disorder)
787,vascular disease,S-54122009,Eales' disease (disorder)
788,vascular disease,S-233972005,Aortic bifurcation embolus (disorder)
789,vascular disease,S-195268001,Leaking abdominal aortic aneurysm (disorder)
790,vascular disease,S-95455008,Thrombosis of cerebral veins (disorder)
791,vascular disease,S-72866009,Varicose veins of lower extremity (disorder)
792,vascular disease,S-705129007,Thrombosis of middle cerebral artery (disorder)
793,vascular disease,S-48601002,Thrombosis of precerebral artery (disorder)
794,vascular disease,S-698363002,Postoperative thromboembolus of precerebral artery (disorder)
795,vascular disease,S-721412003,Minor laceration of vertebral artery (disorder)
796,vascular disease,S-210895008,Injury of blood vessels at lower leg level (disorder)
797,vascular disease,S-1367008,Injury of superior mesenteric artery (disorder)
798,vascular disease,S-460307002,Systemic to pulmonary collateral artery from right carotid artery (disorder)
799,vascular disease,S-64586002,Carotid artery stenosis (disorder)
800,vascular disease,S-234074004,Venous hypertension of hand (disorder)
801,vascular disease,S-233955003,Abdominal aortic atherosclerosis (disorder)
802,vascular disease,S-73192008,Multiple AND bilateral precerebral artery stenosis (disorder)
803,vascular disease,S-448154004,Vascular ring with left aortic arch and right arterial duct arising from retroesophageal aortic diverticulum (disorder)
804,vascular disease,S-15712641000119101,Ischemia of right upper limb (disorder)
805,vascular disease,S-733129005,Varicose veins of lower limb with nontruncal reflux (disorder)
806,vascular disease,S-460967007,Right ligamentum arteriosum (disorder)
807,vascular disease,S-29495008,Aneurysm of artery of upper extremity (disorder)
808,vascular disease,S-33700007,Ruptured sinus of Valsalva into right atrium (disorder)
809,vascular disease,S-42878004,Thrombosis of thoracic aorta (disorder)
810,vascular disease,S-438785004,Deep venous thrombosis of tibial vein (disorder)
811,vascular disease,S-186581001,Pseudoscarlatina (disorder)
812,vascular disease,S-371038000,Terminal aortic occlusion (disorder)
813,vascular disease,S-210879008,"Closed injury, popliteal vein (disorder)"
814,vascular disease,S-312601003,Thoracic aorta abnormality (disorder)
815,vascular disease,S-735898005,Laceration of plantar artery of foot (disorder)
816,vascular disease,S-233988005,Carotid artery aneurysm (disorder)
817,vascular disease,S-285191000119103,Left carotid artery stenosis (disorder)
818,vascular disease,S-459165008,Systemic to pulmonary collateral artery from abdominal aorta (disorder)
819,vascular disease,S-421895002,Peripheral vascular disorder co-occurrent and due to diabetes mellitus (disorder)
820,vascular disease,S-15710841000119104,Dissection of bilateral iliac arteries (disorder)
821,vascular disease,S-447849009,Double aortic arch with right arch dominant and atresia of left arch (disorder)
822,vascular disease,S-54519002,Basilar artery stenosis (disorder)
823,vascular disease,S-93064005,Congenital duplication of aorta (disorder)
824,vascular disease,S-724857000,Occlusion of microvasculature of skin caused by embolus (disorder)
825,vascular disease,S-20735004,Syphilitic aortitis (disorder)
826,vascular disease,S-232037002,Branch macular artery occlusion (disorder)
827,vascular disease,S-723878005,Obstruction of peripheral vein (disorder)
828,vascular disease,S-240484000,Modified measles (disorder)
829,vascular disease,S-766751007,Neuhauser anomaly (disorder)
830,vascular disease,S-703277001,Deep venous thrombosis of femoropopliteal vein (disorder)
831,vascular disease,S-447929001,Double aortic arch with left arch dominant (disorder)
832,vascular disease,S-195295006,Raynaud's disease (disorder)
833,vascular disease,S-734374000,Thrombosis of left carotid artery (disorder)
834,vascular disease,S-737160009,Dissection of basilar artery (disorder)
835,vascular disease,S-11255009,Retinal arteritis (disorder)
836,vascular disease,S-297156001,Axillary vein thrombosis (disorder)
837,vascular disease,S-277324009,Ruptured aneurysm of basilar artery (disorder)
838,vascular disease,S-195900001,Pneumonia co-occurrent and due to measles (disorder)
839,vascular disease,S-399228007,Tetralogy of Fallot with absent pulmonary valve (disorder)
840,vascular disease,S-132171000119104,Chronic deep venous thrombosis of thigh (disorder)
841,vascular disease,S-403517004,Scleroderma-associated nailfold telangiectasia (disorder)
842,vascular disease,S-64959007,Retinal artery spasm (disorder)
843,vascular disease,S-297146000,Brachial artery thrombosis (disorder)
844,vascular disease,S-722006004,Isotretinoin embryopathy-like syndrome (disorder)
845,vascular disease,S-712578006,Aneurysm of aortic arch (disorder)
846,vascular disease,S-16012911000119105,Thrombosis of left popliteal artery (disorder)
847,vascular disease,S-195341003,Embolism and thrombosis of the axillary artery (disorder)
848,vascular disease,S-699056001,Telangiectasia of skin of face (disorder)
849,vascular disease,S-90520006,Vertebral artery stenosis (disorder)
850,vascular disease,S-95234008,Retroesophageal aortic arch (disorder)
851,vascular disease,S-23854007,Small plaque parapsoriasis (disorder)
852,vascular disease,S-713034001,Dissection of mesenteric artery (disorder)
853,vascular disease,S-724437007,Compression of trachea and esophagus co-occurrent and due to congenital anomaly of aortic arch (disorder)
854,vascular disease,S-238772004,Livedo reticularis (disorder)
855,vascular disease,S-703158007,Embolism of internal auditory artery (disorder)
856,vascular disease,S-307398006,Infected iliofemoral graft (disorder)
857,vascular disease,S-232038007,Central retinal vein occlusion with neovascularization (disorder)
858,vascular disease,S-16006071000119100,Thrombophlebitis of vein of left upper limb (disorder)
859,vascular disease,S-408665008,Pontine artery thrombosis (disorder)
860,vascular disease,S-18322005,Thrombosis of torcular Herophili (disorder)
861,vascular disease,S-106016005,"Intracranial sinus thrombosis, embolism AND/OR inflammation (disorder)"
862,vascular disease,S-51696001,Lipogranulomatosis subcutanea of Rothmann and Makai (disorder)
863,vascular disease,S-80383008,Embolism of iliac artery (disorder)
864,vascular disease,S-302881009,Septic thrombophlebitis of lateral sinus (disorder)
865,vascular disease,S-16012991000119101,Thrombosis of left femoral artery (disorder)
866,vascular disease,S-15649101000119101,Aneurysm of right internal iliac artery (disorder)
867,vascular disease,S-459173004,Infective endarteritis at site of aortopulmonary window (disorder)
868,vascular disease,S-66923004,Phlegmasia alba dolens (disorder)
869,vascular disease,S-210848009,Digital blood vessel injury (disorder)
870,vascular disease,S-127318002,Injury of inferior pancreaticoduodenal artery (disorder)
871,vascular disease,S-4249000,Poor peripheral circulation (disorder)
872,vascular disease,S-402835008,"Spider telangiectasis, secondary (disorder)"
873,vascular disease,S-268190004,Congenital peripheral aneurysm (disorder)
874,vascular disease,S-735132006,Occlusion of right cerebellar artery (disorder)
875,vascular disease,S-425414000,Bilateral renal artery stenosis (disorder)
876,vascular disease,S-247479008,Telangiectasia disorder (disorder)
877,vascular disease,S-234025000,Steal syndrome of hand (disorder)
878,vascular disease,S-186562009,Measles with intestinal complications (disorder)
879,vascular disease,S-304930004,Varicose veins of lower extremity with ulcer (disorder)
880,vascular disease,S-10129005,Injury of brachial artery (disorder)
881,vascular disease,S-405580006,Traumatic aortocaval fistula (disorder)
882,vascular disease,S-10596002,Peripheral vascular complication (disorder)
883,vascular disease,S-46395002,Multiple renal arteries (disorder)
884,vascular disease,S-206202008,Massive epicranial subaponeurotic hemorrhage due to birth trauma (disorder)
885,vascular disease,S-363261001,Peripheral vascular complication of procedure (disorder)
886,vascular disease,S-192756001,Embolism lateral sinus (disorder)
887,vascular disease,S-405557003,Occlusion of lower limb artery (disorder)
888,vascular disease,S-195183002,Multiple and bilateral precerebral arterial occlusion (disorder)
889,vascular disease,S-48248005,Thrombophlebitis of inferior sagittal sinus (disorder)
890,vascular disease,S-195280009,Dorsalis pedis aneurysm (disorder)
891,vascular disease,S-403976007,Glomeruloid hemangioma (disorder)
892,vascular disease,S-37553001,Injury of axillary vein (disorder)
893,vascular disease,S-253297008,Transposition of aorta (disorder)
894,vascular disease,S-41371000119100,Shone complex (disorder)
895,vascular disease,S-423462008,Dural carotid cavernous fistula (disorder)
896,vascular disease,S-15978431000119106,Thrombosis of right vertebral artery (disorder)
897,vascular disease,S-197812000,Renal artery hemorrhage (disorder)
898,vascular disease,S-15707961000119109,Dissecting hemorrhage of bilateral carotid arteries (disorder)
899,vascular disease,S-213046008,Mechanical complication of intra-aortic balloon (disorder)
900,vascular disease,S-276274001,Unruptured aneurysm of posterior communicating artery (disorder)
901,vascular disease,S-3506008,Stenosis of retinal artery (disorder)
902,vascular disease,S-230224002,Septic thrombophlebitis of cortical vein (disorder)
903,vascular disease,S-60989005,Thromboembolism of renal arteries (disorder)
904,vascular disease,S-238750001,Rosaceal flushing (disorder)
905,vascular disease,S-448722002,Abnormality of abdominal aorta (disorder)
906,vascular disease,S-234055007,Varicose veins of leg with long saphenous vein distribution (disorder)
907,vascular disease,S-373606000,Occlusive stroke (disorder)
908,vascular disease,S-253678000,Thoracic aortic coarctation (disorder)
909,vascular disease,S-421365002,Peripheral circulatory disorder associated with type I diabetes mellitus (disorder)
910,vascular disease,S-111021003,Neovascularization of subepidermal region (disorder)
911,vascular disease,S-195396009,Superficial thrombophlebitis of long saphenous vein (disorder)
912,vascular disease,S-80820004,Injury of internal carotid artery (disorder)
913,vascular disease,S-233996000,Type II dissection of thoracic aorta (disorder)
914,vascular disease,S-735575007,Perforation of thoracic aorta co-occurrent and due to aneurysm of thoracic aorta (disorder)
915,vascular disease,S-312828005,Common femoral artery occlusion (disorder)
916,vascular disease,S-459160003,Abscess at site of aortic coarctation (disorder)
917,vascular disease,S-15648441000119102,Aneurysm of right common carotid artery (disorder)
918,vascular disease,S-460955005,Anomalous insertion of ligamentum arteriosum into pulmonary trunk (disorder)
919,vascular disease,S-25114006,Phlebitis of deep veins of lower extremity (disorder)
920,vascular disease,S-253674003,Preductal hypoplasia of aorta (disorder)
921,vascular disease,S-722645005,Major laceration of external jugular vein (disorder)
922,vascular disease,S-447348006,Laceration of posterior tibial artery (disorder)
923,vascular disease,S-425771001,Enlarging abdominal aortic aneurysm (disorder)
924,vascular disease,S-405577005,Nontraumatic dissection of thoracic aorta (disorder)
925,vascular disease,S-95336007,Localized lipodermatosclerosis (disorder)
926,vascular disease,S-88898002,Injury of primary branch of superior mesenteric artery (disorder)
927,vascular disease,S-234034005,Vibration white finger (disorder)
928,vascular disease,S-297150007,Common iliac artery thrombosis (disorder)
929,vascular disease,S-234143003,Parkes Weber syndrome (disorder)
930,vascular disease,S-735896009,Laceration of dorsalis pedis artery of foot (disorder)
931,vascular disease,S-284821000119109,Aneurysm of intracranial portion of internal carotid artery (disorder)
932,vascular disease,S-14246007,Embolism of intracranial venous sinus (disorder)
933,vascular disease,S-448116004,Aneurysm of aortic sinus of Valsalva with protrusion into left ventricle (disorder)
934,vascular disease,S-56384000,Embolism of inferior sagittal sinus (disorder)
935,vascular disease,S-461326001,Anomalous separate origins of internal carotid arteries and external carotid arteries from single aortic arch (disorder)
936,vascular disease,S-15971009,Injury of anterior tibial vein (disorder)
937,vascular disease,S-21258007,Thrombosis of lateral venous sinus (disorder)
938,vascular disease,S-15258001,Subclavian steal syndrome (disorder)
939,vascular disease,S-49465005,Angioma serpiginosum (disorder)
940,vascular disease,S-247475002,Dilated blood vessels in skin (disorder)
941,vascular disease,S-195258006,Thoracic aortic aneurysm which has ruptured (disorder)
942,vascular disease,S-735131004,Occlusion of left cerebellar artery (disorder)
943,vascular disease,S-277644009,Congenital varicella syndrome (disorder)
944,vascular disease,S-460958007,Anomalous origin of ligamentum arteriosum from aortic arch (disorder)
945,vascular disease,S-252036000,Penile arterial insufficiency (disorder)
946,vascular disease,S-15967181000119108,Subclavian steal syndrome of right subclavian artery (disorder)
947,vascular disease,S-134399007,Deep vein thrombosis of leg related to air travel (disorder)
948,vascular disease,S-134193000,Stellate pseudoscar (disorder)
949,vascular disease,S-590005,Congenital aneurysm of anterior communicating artery (disorder)
950,vascular disease,S-16006151000119108,Thrombophlebitis of superficial vein of right upper limb (disorder)
951,vascular disease,S-461401006,Anomalous origin of ligamentum arteriosum from unknown site (disorder)
952,vascular disease,S-230732009,Cerebral arteritis in giant cell arteritis (disorder)
953,vascular disease,S-14482000,Anomalous origin of right subclavian artery (disorder)
954,vascular disease,S-92962004,Congenital absence of carotid artery (disorder)
955,vascular disease,S-230221005,Intracranial arterial septic embolism (disorder)
956,vascular disease,S-7991000119102,Congenital dilatation of aortic root (disorder)
957,vascular disease,S-253646008,Congenital aneurysm of ascending aorta (disorder)
958,vascular disease,S-425932008,Thrombosis of posterior communicating artery (disorder)
959,vascular disease,S-677811000119102,Cholesterol retinal embolus of right eye (disorder)
960,vascular disease,S-461419002,Acquired occlusion of femoral vein (disorder)
961,vascular disease,S-233984007,Thoracoabdominal aortic aneurysm (disorder)
962,vascular disease,S-254207007,Reticulate vascular nevus (disorder)
963,vascular disease,S-27631000146108,Dissection of aortic arch (disorder)
964,vascular disease,S-230728003,Dissection of cervicocerebral artery (disorder)
965,vascular disease,S-307403007,Aortojejunal fistula (disorder)
966,vascular disease,S-253668003,Isolation of subclavian artery (disorder)
967,vascular disease,S-306854007,Thrombosis of femorofemoral crossover bypass graft (disorder)
968,vascular disease,S-195232006,Occlusion and stenosis of middle cerebral artery (disorder)
969,vascular disease,S-233987000,Superficial femoral aneurysm (disorder)
970,vascular disease,S-15648401000119104,Aneurysm of left internal carotid artery (disorder)
971,vascular disease,S-196999001,Superior mesenteric artery embolus (disorder)
972,vascular disease,S-300919005,Digital arterial thrombosis (disorder)
973,vascular disease,S-720809000,Dissection of external carotid artery (disorder)
974,vascular disease,S-460969005,Anomalous origin of right ligamentum arteriosum from left aortic arch (disorder)
975,vascular disease,S-277315000,Ruptured aneurysm of anterior cerebral artery (disorder)
976,vascular disease,S-448645003,Aortic arch hypoplasia between subclavian and common carotid arteries (disorder)
977,vascular disease,S-37151006,Erythromelalgia (disorder)
978,vascular disease,S-402850004,Purpura due to prolonged vomiting and/or coughing (disorder)
979,vascular disease,S-460962001,Anomalous origin of ligamentum arteriosum from left brachiocephalic artery (disorder)
980,vascular disease,S-106021000119105,Multi-infarct dementia due to atherosclerosis (disorder)
981,vascular disease,S-210860005,Injury of multiple blood vessels at forearm level (disorder)
982,vascular disease,S-210853004,"Closed injury, digital vessel, multiple (disorder)"
983,vascular disease,S-15649941000119102,Gangrene of bilateral lower limbs co-occurrent and due to atherosclerosis (disorder)
984,vascular disease,S-733126003,Acute occlusion of artery of upper limb caused by thromboembolus (disorder)
985,vascular disease,S-271573009,Congenital abnormality of thoracic aorta and pulmonary arteries (disorder)
986,vascular disease,S-734961002,Embolus of left posterior cerebral artery (disorder)
987,vascular disease,S-10451007,Double aortic arch (disorder)
988,vascular disease,S-210837002,"Open injury, radial artery (disorder)"
989,vascular disease,S-62227009,Dukes-Filatow disease (disorder)
990,vascular disease,S-3393008,"Phlebitis following infusion, perfusion AND/OR transfusion (disorder)"
991,vascular disease,S-402675002,Vasodilatation disorder of extremities (disorder)
992,vascular disease,S-239926000,Cutaneous polyarteritis nodosa (disorder)
993,vascular disease,S-253513005,Tetralogy of Fallot with pulmonary atresia (disorder)
994,vascular disease,S-448100001,Aneurysm of aortic sinus of Valsalva with protrusion into right ventricle (disorder)
995,vascular disease,S-28366008,Cerebral arteritis (disorder)
996,vascular disease,S-703206009,Asymptomatic occlusion of basilar artery (disorder)
997,vascular disease,S-232035005,Retinal artery occlusion (disorder)
998,vascular disease,S-445874008,Traumatic rupture of gastroepiploic artery (disorder)
999,vascular disease,S-67992007,Multiple AND bilateral precerebral artery obstruction (disorder)
1000,vascular disease,S-16014311000119102,Thrombophlebitis of vein of bilateral lower limbs (disorder)
1001,vascular disease,S-735834009,Laceration of blood vessel of finger (disorder)
1002,vascular disease,S-7438000,Congenital atresia of aorta (disorder)
1003,vascular disease,S-402769003,Congenital/genetic syndrome with poikiloderma (disorder)
1004,vascular disease,S-716745004,Livedo reticularis and cerebrovascular accident syndrome (disorder)
1005,vascular disease,S-243410003,Thrombosis of mesenteric artery (disorder)
1006,vascular disease,S-445285002,Aortic sinus of Valsalva aneurysm from left coronary sinus (disorder)
1007,vascular disease,S-441545004,Nonischemic priapism (disorder)
1008,vascular disease,S-460312001,Systemic to pulmonary collateral artery from left carotid artery (disorder)
1009,vascular disease,S-34173009,Injury of radial artery (disorder)
1010,vascular disease,S-301899003,Dissection of proximal aorta (disorder)
1011,vascular disease,S-95459002,Cerebellar artery thrombosis (disorder)
1012,vascular disease,S-197006009,Superior mesenteric artery syndrome (disorder)
1013,vascular disease,S-16012951000119106,Thrombosis of right popliteal artery (disorder)
1014,vascular disease,S-200204002,Varicose veins of legs in pregnancy and the puerperium (disorder)
1015,vascular disease,S-65312002,Cerebral arteriosclerosis (disorder)
1016,vascular disease,S-448061002,Shelf-like supravalvar aortic stenosis (disorder)
1017,vascular disease,S-723991007,Angio-osteohypertrophic syndrome (disorder)
1018,vascular disease,S-723363009,"Hypotrichosis, lymphedema, telangiectasia, renal defect syndrome (disorder)"
1019,vascular disease,S-210829005,"Open injury, axillary vein (disorder)"
1020,vascular disease,S-90971000119103,Glomerulonephritis co-occurrent and due to vasculitis (disorder)
1021,vascular disease,S-132261000119104,Acute deep venous thrombosis of tibial vein (disorder)
1022,vascular disease,S-713036004,Dissection of renal artery (disorder)
1023,vascular disease,S-253512000,Tetralogy of Fallot with pulmonary stenosis (disorder)
1024,vascular disease,S-473395000,Congenital occlusion of femoral vein (disorder)
1025,vascular disease,S-55382008,Cerebral atherosclerosis (disorder)
1026,vascular disease,S-448471006,Congenital abnormality of ascending aorta (disorder)
1027,vascular disease,S-722705009,Minor laceration of external jugular vein (disorder)
1028,vascular disease,S-766951004,Acquired obstruction of femoral vein (disorder)
1029,vascular disease,S-253644006,Ascending aorta absent (disorder)
1030,vascular disease,S-447970004,Double aortic arch with left arch dominant and atresia of right arch (disorder)
1031,vascular disease,S-314187004,Iliac artery occlusion (disorder)
1032,vascular disease,S-210838007,Injury of radial artery at wrist and hand level (disorder)
1033,vascular disease,S-56267009,Multi-infarct dementia (disorder)
1034,vascular disease,S-712582008,Pseudoaneurysm of artery of upper extremity (disorder)
1035,vascular disease,S-210865000,"Closed injury, common femoral artery (disorder)"
1036,vascular disease,S-58144006,Benign cutaneous periarteritis nodosa (disorder)
1037,vascular disease,S-448724001,Aneurysm of aortic sinus of Valsalva with rupture to left ventricle (disorder)
1038,vascular disease,S-15648521000119107,Aneurysm of right carotid artery (disorder)
1039,vascular disease,S-15648821000119105,Atherosclerosis of left renal artery (disorder)
1040,vascular disease,S-20656007,Sublingual varices (disorder)
1041,vascular disease,S-23808003,Rolandic vein occlusion syndrome (disorder)
1042,vascular disease,S-10349009,Multi-infarct dementia with delirium (disorder)
1043,vascular disease,S-448305002,Vascular ring with malrotation and dextroversion of heart and hypoplasia of right lung and left arterial duct (disorder)
1044,vascular disease,S-428479004,Aneurysm of superficial temporal artery (disorder)
1045,vascular disease,S-400171002,Malignant atrophic papulosis (disorder)
1046,vascular disease,S-734396006,Spontaneous rupture of left posterior communicating artery (disorder)
1047,vascular disease,S-824031000000109,Leaking thoracic aortic aneurysm (disorder)
1048,vascular disease,S-210824000,Axillary blood vessel injury (disorder)
1049,vascular disease,S-2972007,Anterior spinal artery occlusion syndrome (disorder)
1050,vascular disease,S-448646002,Aortic arch hypoplasia distal to subclavian artery (disorder)
1051,vascular disease,S-715364001,Familial abdominal aortic aneurysm (disorder)
1052,vascular disease,S-416792008,Vein of Galen malformation (disorder)
1053,vascular disease,S-21112004,Vascular hemostatic disease (disorder)
1054,vascular disease,S-16006031000119103,Thrombophlebitis of vein of right upper limb (disorder)
1055,vascular disease,S-460591005,Vascular ring with right aortic arch and left ductus arteriosus from anomalous retroesophageal left subclavian artery (disorder)
1056,vascular disease,S-52496006,Thrombophlebitis of femoropopliteal vein (disorder)
1057,vascular disease,S-46085004,Thrombosis of retinal vein (disorder)
1058,vascular disease,S-238813009,Drug exanthem (disorder)
1059,vascular disease,S-403774004,Hereditary sclerosing poikiloderma of Weary (disorder)
1060,vascular disease,S-302233006,Renal artery stenosis (disorder)
1061,vascular disease,S-234057004,Calf perforator varicose veins (disorder)
1062,vascular disease,S-718634003,Cutaneous collagenous vasculopathy (disorder)
1063,vascular disease,S-16014671000119100,Occlusion of left femoral artery (disorder)
1064,vascular disease,S-192760003,Thrombosis of superior longitudinal sinus (disorder)
1065,vascular disease,S-192753009,Phlebitis and thrombophlebitis of intracranial sinuses (disorder)
1066,vascular disease,S-111290000,Aneurysm of celiac artery (disorder)
1067,vascular disease,S-210901006,Injury of dorsal vein of foot (disorder)
1068,vascular disease,S-449232001,Aortic arch hypoplasia between carotid arteries (disorder)
1069,vascular disease,S-195313002,Peripheral artery spasm (disorder)
1070,vascular disease,S-450313008,Coarctation of aorta between left common carotid artery and right common carotid artery (disorder)
1071,vascular disease,S-723871004,Acute occlusion of aortoiliac artery due to thrombosis (disorder)
1072,vascular disease,S-329481000119106,Occlusion of right middle cerebral artery (disorder)
1073,vascular disease,S-460387004,Systemic to pulmonary collateral artery from left brachiocephalic artery (disorder)
1074,vascular disease,S-236493008,Acquired renal artery aneurysm (disorder)
1075,vascular disease,S-230223008,Septic thrombophlebitis of sigmoid sinus (disorder)
1076,vascular disease,S-200207009,Varicose veins of legs in pregnancy and the puerperium - delivered with postnatal complication (disorder)
1077,vascular disease,S-200260008,Cerebral venous thrombosis in the puerperium (disorder)
1078,vascular disease,S-204493007,Arteriovenous malformation of precerebral vessels (disorder)
1079,vascular disease,S-233968006,External iliac artery stenosis (disorder)
1080,vascular disease,S-448721009,Abnormal course of aortic arch and descending aorta (disorder)
1081,vascular disease,S-234056008,Varicose veins of leg with short saphenous vein distribution (disorder)
1082,vascular disease,S-64009001,Basilar artery syndrome (disorder)
1083,vascular disease,S-75145007,Stricture of aorta (disorder)
1084,vascular disease,S-93384001,Congenital stenosis of aortic arch (disorder)
1085,vascular disease,S-90383006,Congenital absence of aorta (disorder)
1086,vascular disease,S-230704000,Multi-infarct state (disorder)
1087,vascular disease,S-88174006,Basilar artery thrombosis (disorder)
